window_days,threshold_mm,FPR,POD
3,69.7000,0.0958,0.3292
3,68.9000,0.0974,0.3386
3,68.3000,0.0991,0.3417
3,67.5000,0.1008,0.3574
3,67.0000,0.1024,0.3574
3,66.1000,0.1039,0.3605
3,65.4000,0.1057,0.3699
3,64.9000,0.1075,0.3699
3,64.2000,0.1093,0.3730
3,63.5000,0.1107,0.3856
3,62.7000,0.1124,0.3981
3,62.3000,0.1140,0.4044
3,61.4000,0.1157,0.4169
3,60.7000,0.1173,0.4201
3,60.0000,0.1188,0.4263
3,59.4000,0.1206,0.4295
3,58.5000,0.1225,0.4295
3,58.0000,0.1238,0.4451
3,57.4000,0.1256,0.4514
3,56.8000,0.1272,0.4671
3,56.1000,0.1289,0.4671
3,55.6000,0.1309,0.4671
3,54.9000,0.1326,0.4671
3,54.2000,0.1343,0.4734
3,53.7000,0.1359,0.4796
3,53.3000,0.1374,0.4859
3,52.5000,0.1391,0.4922
3,51.9000,0.1409,0.4984
3,51.4000,0.1426,0.5016
3,50.8000,0.1445,0.5078
3,50.2000,0.1458,0.5204
3,49.6000,0.1475,0.5329
3,49.1000,0.1488,0.5392
3,48.6000,0.1510,0.5423
3,48.1000,0.1523,0.5486
3,47.6000,0.1542,0.5549
3,47.2000,0.1560,0.5580
3,46.8000,0.1576,0.5580
3,46.2000,0.1593,0.5674
3,45.8000,0.1606,0.5705
3,45.4000,0.1625,0.5768
3,44.7000,0.1644,0.5831
3,44.3000,0.1659,0.5925
3,43.9000,0.1676,0.6019
5,327.3000,0.0018,0.0031
5,292.6000,0.0037,0.0063
5,270.7000,0.0053,0.0188
5,255.8000,0.0070,0.0313
5,245.1000,0.0086,0.0470
5,236.9000,0.0103,0.0533
5,226.9000,0.0121,0.0564
5,221.4000,0.0136,0.0752
5,215.1000,0.0154,0.0815
5,210.0000,0.0171,0.0878
5,205.7000,0.0189,0.0972
5,202.1000,0.0207,0.1003
5,197.9000,0.0224,0.1066
5,193.5000,0.0243,0.1097
5,190.3000,0.0261,0.1160
5,186.7000,0.0277,0.1254
5,182.2000,0.0296,0.1317
5,179.5000,0.0314,0.1348
5,176.4000,0.0332,0.1379
5,173.0000,0.0349,0.1442
5,170.0000,0.0366,0.1536
5,166.5000,0.0382,0.1661
5,164.3000,0.0400,0.1755
5,161.3000,0.0418,0.1818
5,158.3000,0.0435,0.1975
5,156.4000,0.0451,0.2038
5,153.3000,0.0467,0.2163
5,151.7000,0.0483,0.2320
5,149.7000,0.0502,0.2320
5,148.2000,0.0519,0.2382
5,146.1000,0.0538,0.2414
5,143.8000,0.0555,0.2508
5,142.1000,0.0573,0.2571
5,140.1000,0.0592,0.2602
5,138.7000,0.0606,0.2696
5,137.0000,0.0626,0.2759
5,135.2000,0.0642,0.2821
5,134.0000,0.0660,0.2884
5,132.2000,0.0678,0.2947
5,130.9000,0.0698,0.2947
5,129.5000,0.0713,0.3072
5,128.4000,0.0731,0.3103
5,127.5000,0.0749,0.3135
5,126.3000,0.0768,0.3197
5,125.1000,0.0785,0.3229
5,123.6000,0.0804,0.3260
5,122.3000,0.0823,0.3292
5,121.1000,0.0841,0.3386
5,120.2000,0.0857,0.3417
5,118.9000,0.0877,0.3542
5,117.6000,0.0892,0.3605
5,116.5000,0.0911,0.3605
5,115.5000,0.0929,0.3699
5,114.5000,0.0947,0.3699
5,113.2000,0.0965,0.3762
5,112.2000,0.0981,0.3856
5,110.9000,0.0999,0.3918
5,109.6000,0.1017,0.3981
5,108.7000,0.1035,0.3981
5,107.3000,0.1054,0.4013
5,106.6000,0.1072,0.4044
5,105.8000,0.1091,0.4075
5,105.1000,0.1105,0.4201
5,104.2000,0.1125,0.4232
5,103.2000,0.1143,0.4295
5,101.8000,0.1162,0.4326
5,100.9000,0.1179,0.4389
5,99.8000,0.1197,0.4420
5,98.9000,0.1214,0.4451
5,98.0000,0.1232,0.4545
5,97.2000,0.1249,0.4702
5,96.6000,0.1266,0.4734
5,95.7000,0.1282,0.4796
5,94.9000,0.1302,0.4859
5,94.2000,0.1316,0.5047
5,93.2000,0.1336,0.5110
5,92.6000,0.1354,0.5141
5,91.7000,0.1370,0.5172
5,91.0000,0.1389,0.5235
5,90.2000,0.1407,0.5298
5,89.4000,0.1425,0.5329
5,88.7000,0.1444,0.5329
5,88.2000,0.1460,0.5455
5,87.3000,0.1479,0.5455
5,86.6000,0.1498,0.5486
5,85.8000,0.1515,0.5580
5,85.0000,0.1531,0.5643
5,83.9000,0.1550,0.5705
5,83.1000,0.1565,0.5799
5,82.3000,0.1585,0.5862
5,81.3000,0.1602,0.5893
5,80.6000,0.1621,0.5893
5,79.9000,0.1638,0.6019
5,79.1000,0.1654,0.6144
5,78.4000,0.1672,0.6144
5,77.7000,0.1691,0.6176
5,76.8000,0.1709,0.6238
5,76.0000,0.1726,0.6332
5,75.4000,0.1743,0.6426
5,74.7000,0.1760,0.6489
7,389.6000,0.0019,0.0031
7,365.3000,0.0038,0.0031
7,338.4000,0.0055,0.0188
7,317.5000,0.0072,0.0251
7,304.8000,0.0089,0.0408
7,295.2000,0.0107,0.0439
7,287.6000,0.0125,0.0502
7,281.6000,0.0142,0.0627
7,276.5000,0.0159,0.0690
7,270.4000,0.0179,0.0721
7,265.7000,0.0194,0.0909
7,259.1000,0.0213,0.0972
7,253.9000,0.0230,0.1034
7,250.0000,0.0249,0.1097
7,244.9000,0.0263,0.1285
7,241.6000,0.0282,0.1379
7,237.5000,0.0298,0.1505
7,234.0000,0.0316,0.1536
7,230.0000,0.0335,0.1599
7,227.0000,0.0352,0.1724
7,223.6000,0.0371,0.1787
7,220.3000,0.0388,0.1850
7,216.6000,0.0406,0.1944
7,214.3000,0.0422,0.2069
7,211.7000,0.0440,0.2163
7,209.3000,0.0458,0.2163
7,207.4000,0.0477,0.2288
7,204.8000,0.0493,0.2414
7,202.4000,0.0511,0.2476
7,200.1000,0.0528,0.2571
7,198.0000,0.0546,0.2633
7,195.6000,0.0565,0.2665
7,193.7000,0.0583,0.2696
7,191.0000,0.0601,0.2727
7,189.0000,0.0620,0.2821
7,186.3000,0.0639,0.2884
7,184.7000,0.0655,0.2978
7,182.8000,0.0672,0.3103
7,181.0000,0.0691,0.3135
7,179.0000,0.0710,0.3166
7,177.1000,0.0728,0.3166
7,175.5000,0.0745,0.3292
7,173.3000,0.0762,0.3354
7,171.0000,0.0781,0.3448
7,169.1000,0.0799,0.3511
7,167.0000,0.0818,0.3542
7,165.7000,0.0835,0.3636
7,163.7000,0.0853,0.3668
7,162.0000,0.0873,0.3824
7,160.9000,0.0888,0.3887
7,159.8000,0.0907,0.3981
7,158.4000,0.0924,0.3981
7,156.9000,0.0943,0.4044
7,155.6000,0.0961,0.4107
7,154.2000,0.0979,0.4107
7,152.5000,0.0999,0.4138
7,151.6000,0.1015,0.4263
7,150.7000,0.1034,0.4326
7,149.5000,0.1051,0.4420
7,148.4000,0.1069,0.4483
7,147.5000,0.1088,0.4483
7,146.1000,0.1106,0.4577
7,144.8000,0.1124,0.4639
7,143.5000,0.1141,0.4734
7,142.4000,0.1160,0.4734
7,141.5000,0.1179,0.4796
7,140.4000,0.1195,0.4922
7,139.3000,0.1215,0.4922
7,138.1000,0.1233,0.5016
7,136.8000,0.1249,0.5110
7,135.7000,0.1268,0.5141
7,134.4000,0.1286,0.5298
7,133.4000,0.1304,0.5329
7,132.1000,0.1322,0.5392
7,130.7000,0.1340,0.5486
7,129.7000,0.1359,0.5517
7,128.5000,0.1376,0.5517
7,127.4000,0.1397,0.5549
7,126.3000,0.1412,0.5643
7,124.9000,0.1431,0.5705
7,124.0000,0.1449,0.5768
7,123.0000,0.1471,0.5768
7,122.2000,0.1485,0.5893
7,121.3000,0.1503,0.5925
7,120.0000,0.1524,0.5987
7,119.2000,0.1541,0.5987
7,117.9000,0.1561,0.5987
7,117.0000,0.1580,0.6113
7,116.4000,0.1595,0.6176
7,115.2000,0.1613,0.6176
7,114.2000,0.1633,0.6207
7,113.3000,0.1652,0.6238
7,112.5000,0.1670,0.6332
7,111.7000,0.1688,0.6395
7,110.3000,0.1705,0.6489
7,109.4000,0.1722,0.6552
7,108.3000,0.1741,0.6583
7,107.2000,0.1761,0.6646
7,106.2000,0.1781,0.6677
7,105.5000,0.1795,0.6771
