window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
2,30.3000,174,2419,145,13333,0.5455,0.9329,0.0636,0.0872,0.0456,0.1536
2,30.6000,170,2403,149,13349,0.5329,0.9339,0.0625,0.0853,0.0445,0.1526
2,31.1000,169,2375,150,13377,0.5298,0.9336,0.0627,0.0858,0.0448,0.1508
2,31.4000,168,2353,151,13399,0.5266,0.9334,0.0629,0.0861,0.0450,0.1494
2,31.9000,165,2321,154,13431,0.5172,0.9336,0.0625,0.0855,0.0446,0.1473
2,32.2000,164,2301,155,13451,0.5141,0.9335,0.0626,0.0857,0.0448,0.1461
2,32.6000,162,2270,157,13482,0.5078,0.9334,0.0626,0.0857,0.0448,0.1441
2,32.8000,160,2255,159,13497,0.5016,0.9337,0.0622,0.0850,0.0444,0.1432
2,33.3000,156,2228,163,13524,0.4890,0.9346,0.0612,0.0833,0.0435,0.1414
2,33.7000,155,2202,164,13550,0.4859,0.9342,0.0615,0.0838,0.0437,0.1398
2,34.2000,152,2178,167,13574,0.4765,0.9348,0.0609,0.0827,0.0432,0.1383
2,34.7000,151,2152,168,13600,0.4734,0.9344,0.0611,0.0832,0.0434,0.1366
2,35.2000,149,2128,170,13624,0.4671,0.9346,0.0609,0.0829,0.0432,0.1351
2,35.7000,149,2103,170,13649,0.4671,0.9338,0.0615,0.0841,0.0439,0.1335
2,36.1000,149,2074,170,13678,0.4671,0.9330,0.0623,0.0855,0.0446,0.1317
2,36.6000,148,2046,171,13706,0.4639,0.9325,0.0626,0.0861,0.0450,0.1299
2,37.0000,147,2019,172,13733,0.4608,0.9321,0.0629,0.0867,0.0453,0.1282
2,37.5000,144,1997,175,13755,0.4514,0.9327,0.0622,0.0855,0.0446,0.1268
2,38.0000,144,1973,175,13779,0.4514,0.9320,0.0628,0.0867,0.0453,0.1253
2,38.5000,144,1944,175,13808,0.4514,0.9310,0.0636,0.0883,0.0462,0.1234
2,39.0000,143,1918,176,13834,0.4483,0.9306,0.0639,0.0888,0.0465,0.1218
2,39.4000,143,1892,176,13860,0.4483,0.9297,0.0647,0.0903,0.0473,0.1201
2,39.9000,140,1869,179,13883,0.4389,0.9303,0.0640,0.0891,0.0466,0.1187
2,40.5000,138,1844,181,13908,0.4326,0.9304,0.0638,0.0888,0.0465,0.1171
2,40.9000,136,1816,183,13936,0.4263,0.9303,0.0637,0.0887,0.0464,0.1153
2,41.1000,134,1800,185,13952,0.4201,0.9307,0.0632,0.0879,0.0460,0.1143
2,41.6000,134,1768,185,13984,0.4201,0.9295,0.0642,0.0897,0.0470,0.1122
2,41.9000,133,1742,186,14010,0.4169,0.9291,0.0645,0.0904,0.0473,0.1106
2,42.4000,131,1715,188,14037,0.4107,0.9290,0.0644,0.0902,0.0472,0.1089
2,42.8000,131,1693,188,14059,0.4107,0.9282,0.0651,0.0916,0.0480,0.1075
2,43.3000,130,1661,189,14091,0.4075,0.9274,0.0657,0.0926,0.0486,0.1054
2,43.6000,126,1645,193,14107,0.3950,0.9289,0.0642,0.0900,0.0471,0.1044
2,44.3000,121,1620,198,14132,0.3793,0.9305,0.0624,0.0868,0.0454,0.1028
2,45.2000,118,1593,201,14159,0.3699,0.9310,0.0617,0.0857,0.0447,0.1011
2,45.7000,117,1570,202,14182,0.3668,0.9306,0.0619,0.0861,0.0450,0.0997
2,46.2000,117,1543,202,14209,0.3668,0.9295,0.0628,0.0879,0.0460,0.0980
2,46.6000,114,1520,205,14232,0.3574,0.9302,0.0620,0.0864,0.0451,0.0965
2,47.0000,110,1499,209,14253,0.3448,0.9316,0.0605,0.0838,0.0437,0.0952
2,47.6000,110,1472,209,14280,0.3448,0.9305,0.0614,0.0855,0.0447,0.0934
2,48.0000,105,1449,214,14303,0.3292,0.9324,0.0594,0.0819,0.0427,0.0920
2,48.6000,102,1426,217,14326,0.3197,0.9332,0.0585,0.0802,0.0418,0.0905
2,49.2000,100,1399,219,14353,0.3135,0.9333,0.0582,0.0799,0.0416,0.0888
2,49.9000,99,1378,220,14374,0.3103,0.9330,0.0583,0.0802,0.0418,0.0875
2,50.6000,96,1349,223,14403,0.3009,0.9336,0.0576,0.0789,0.0411,0.0856
2,51.1000,94,1327,225,14425,0.2947,0.9338,0.0571,0.0782,0.0407,0.0842
2,51.6000,92,1302,227,14450,0.2884,0.9340,0.0568,0.0776,0.0404,0.0827
2,52.2000,92,1277,227,14475,0.2884,0.9328,0.0576,0.0794,0.0413,0.0811
2,53.1000,89,1251,230,14501,0.2790,0.9336,0.0567,0.0777,0.0404,0.0794
2,53.8000,88,1224,231,14528,0.2759,0.9329,0.0570,0.0785,0.0408,0.0777
2,54.4000,86,1203,233,14549,0.2696,0.9333,0.0565,0.0776,0.0404,0.0764
2,55.1000,84,1175,235,14577,0.2633,0.9333,0.0562,0.0772,0.0402,0.0746
2,55.6000,84,1151,235,14601,0.2633,0.9320,0.0571,0.0791,0.0412,0.0731
2,56.3000,83,1123,236,14629,0.2602,0.9312,0.0576,0.0800,0.0416,0.0713
2,57.1000,83,1096,236,14656,0.2602,0.9296,0.0587,0.0821,0.0428,0.0696
2,57.9000,80,1071,239,14681,0.2508,0.9305,0.0576,0.0803,0.0418,0.0680
2,58.7000,79,1045,240,14707,0.2476,0.9297,0.0579,0.0811,0.0423,0.0663
2,59.5000,76,1018,243,14734,0.2382,0.9305,0.0568,0.0793,0.0413,0.0646
2,60.3000,74,996,245,14756,0.2320,0.9308,0.0563,0.0784,0.0408,0.0632
2,60.9000,74,969,245,14783,0.2320,0.9291,0.0575,0.0807,0.0421,0.0615
2,62.0000,72,946,247,14806,0.2257,0.9293,0.0569,0.0799,0.0416,0.0601
2,62.7000,72,923,247,14829,0.2257,0.9276,0.0580,0.0820,0.0427,0.0586
2,63.5000,69,894,250,14858,0.2163,0.9283,0.0569,0.0802,0.0418,0.0568
2,64.6000,69,870,250,14882,0.2163,0.9265,0.0580,0.0825,0.0430,0.0552
2,65.5000,68,845,251,14907,0.2132,0.9255,0.0584,0.0834,0.0435,0.0536
2,66.4000,67,816,252,14936,0.2100,0.9241,0.0590,0.0848,0.0443,0.0518
2,67.2000,65,791,254,14961,0.2038,0.9241,0.0586,0.0842,0.0439,0.0502
2,68.1000,64,768,255,14984,0.2006,0.9231,0.0589,0.0849,0.0444,0.0488
2,69.0000,62,742,257,15010,0.1944,0.9229,0.0584,0.0844,0.0441,0.0471
2,69.8000,61,718,258,15034,0.1912,0.9217,0.0588,0.0853,0.0446,0.0456
2,71.2000,60,693,259,15059,0.1881,0.9203,0.0593,0.0865,0.0452,0.0440
2,72.4000,56,666,263,15086,0.1755,0.9224,0.0569,0.0823,0.0429,0.0423
2,73.4000,54,641,265,15111,0.1693,0.9223,0.0563,0.0815,0.0425,0.0407
2,74.3000,52,619,267,15133,0.1630,0.9225,0.0554,0.0803,0.0418,0.0393
2,76.0000,51,592,268,15160,0.1599,0.9207,0.0560,0.0817,0.0426,0.0376
2,77.8000,51,565,268,15187,0.1599,0.9172,0.0577,0.0852,0.0445,0.0359
2,78.9000,51,538,268,15214,0.1599,0.9134,0.0595,0.0889,0.0465,0.0342
