window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
1,65.0000,13,116,203,15739,0.0602,0.8992,0.0392,0.0660,0.0341,0.0073
1,67.5000,10,102,206,15753,0.0463,0.9107,0.0314,0.0523,0.0268,0.0064
1,71.4000,9,87,207,15768,0.0417,0.9062,0.0297,0.0498,0.0256,0.0055
1,75.9000,7,73,209,15782,0.0324,0.9125,0.0242,0.0403,0.0206,0.0046
1,80.7000,7,58,209,15797,0.0324,0.8923,0.0255,0.0439,0.0224,0.0037
1,85.4000,5,44,211,15811,0.0231,0.8980,0.0192,0.0329,0.0167,0.0028
1,92.9000,5,27,211,15828,0.0231,0.8438,0.0206,0.0370,0.0188,0.0017
1,111.2000,2,14,214,15841,0.0093,0.8750,0.0087,0.0154,0.0078,0.0009
2,32.3000,116,1639,100,14216,0.5370,0.9339,0.0625,0.0961,0.0505,0.1034
2,32.6000,115,1623,101,14232,0.5324,0.9338,0.0625,0.0961,0.0505,0.1024
2,32.9000,112,1607,104,14248,0.5185,0.9348,0.0614,0.0941,0.0494,0.1014
2,33.3000,110,1592,106,14263,0.5093,0.9354,0.0608,0.0931,0.0488,0.1004
2,33.6000,110,1573,106,14282,0.5093,0.9346,0.0615,0.0943,0.0495,0.0992
2,34.0000,108,1557,108,14298,0.5000,0.9351,0.0609,0.0933,0.0489,0.0982
2,34.4000,107,1545,109,14310,0.4954,0.9352,0.0608,0.0930,0.0488,0.0974
2,34.9000,107,1525,109,14330,0.4954,0.9344,0.0615,0.0943,0.0495,0.0962
2,35.3000,106,1508,110,14347,0.4907,0.9343,0.0615,0.0944,0.0495,0.0951
2,35.7000,106,1491,110,14364,0.4907,0.9336,0.0621,0.0955,0.0502,0.0940
2,36.0000,106,1470,110,14385,0.4907,0.9327,0.0629,0.0970,0.0509,0.0927
2,36.4000,106,1456,110,14399,0.4907,0.9321,0.0634,0.0979,0.0515,0.0918
2,36.8000,105,1439,111,14416,0.4861,0.9320,0.0634,0.0980,0.0516,0.0908
2,37.3000,104,1421,112,14434,0.4815,0.9318,0.0635,0.0982,0.0517,0.0896
2,37.8000,104,1404,112,14451,0.4815,0.9310,0.0642,0.0995,0.0523,0.0886
2,38.3000,104,1387,112,14468,0.4815,0.9302,0.0649,0.1007,0.0530,0.0875
2,38.7000,104,1369,112,14486,0.4815,0.9294,0.0656,0.1021,0.0538,0.0863
2,39.1000,104,1353,112,14502,0.4815,0.9286,0.0663,0.1033,0.0545,0.0853
2,39.4000,104,1336,112,14519,0.4815,0.9278,0.0670,0.1047,0.0552,0.0843
2,39.9000,101,1319,115,14536,0.4676,0.9289,0.0658,0.1025,0.0540,0.0832
2,40.6000,101,1302,115,14553,0.4676,0.9280,0.0665,0.1039,0.0548,0.0821
2,40.9000,100,1284,116,14571,0.4630,0.9277,0.0667,0.1042,0.0549,0.0810
2,41.1000,98,1273,118,14582,0.4537,0.9285,0.0658,0.1027,0.0541,0.0803
2,41.5000,98,1254,118,14601,0.4537,0.9275,0.0667,0.1042,0.0550,0.0791
2,41.9000,97,1234,119,14621,0.4491,0.9271,0.0669,0.1047,0.0552,0.0778
2,42.3000,95,1220,121,14635,0.4398,0.9278,0.0662,0.1034,0.0545,0.0769
2,42.6000,95,1205,121,14650,0.4398,0.9269,0.0669,0.1047,0.0552,0.0760
2,43.0000,94,1186,122,14669,0.4352,0.9266,0.0670,0.1051,0.0555,0.0748
2,43.5000,93,1167,123,14688,0.4306,0.9262,0.0672,0.1055,0.0557,0.0736
2,43.7000,91,1153,125,14702,0.4213,0.9268,0.0665,0.1041,0.0549,0.0727
2,44.4000,88,1138,128,14717,0.4074,0.9282,0.0650,0.1015,0.0535,0.0718
2,45.3000,86,1126,130,14729,0.3981,0.9290,0.0641,0.0999,0.0526,0.0710
2,45.7000,85,1109,131,14746,0.3935,0.9288,0.0642,0.1001,0.0527,0.0699
2,46.2000,85,1092,131,14763,0.3935,0.9278,0.0650,0.1016,0.0535,0.0689
2,46.7000,84,1070,132,14785,0.3889,0.9272,0.0653,0.1023,0.0539,0.0675
2,47.2000,81,1058,135,14797,0.3750,0.9289,0.0636,0.0992,0.0522,0.0667
2,47.7000,79,1042,137,14813,0.3657,0.9295,0.0628,0.0978,0.0514,0.0657
2,48.2000,78,1026,138,14829,0.3611,0.9293,0.0628,0.0979,0.0515,0.0647
2,48.6000,76,1012,140,14843,0.3519,0.9301,0.0619,0.0963,0.0506,0.0638
2,49.1000,76,994,140,14861,0.3519,0.9290,0.0628,0.0980,0.0515,0.0627
2,49.6000,74,979,142,14876,0.3426,0.9297,0.0619,0.0965,0.0507,0.0617
2,50.3000,73,961,143,14894,0.3380,0.9294,0.0620,0.0967,0.0508,0.0606
2,50.8000,72,945,144,14910,0.3333,0.9292,0.0620,0.0968,0.0508,0.0596
2,51.3000,70,927,146,14928,0.3241,0.9298,0.0612,0.0954,0.0501,0.0585
2,51.7000,70,915,146,14940,0.3241,0.9289,0.0619,0.0967,0.0508,0.0577
2,52.3000,69,892,147,14963,0.3194,0.9282,0.0623,0.0974,0.0512,0.0563
2,53.1000,67,880,149,14975,0.3102,0.9293,0.0611,0.0954,0.0501,0.0555
2,53.8000,66,865,150,14990,0.3056,0.9291,0.0611,0.0953,0.0501,0.0546
2,54.3000,64,849,152,15006,0.2963,0.9299,0.0601,0.0937,0.0491,0.0535
2,54.8000,63,832,153,15023,0.2917,0.9296,0.0601,0.0938,0.0492,0.0525
2,55.4000,63,814,153,15041,0.2917,0.9282,0.0612,0.0958,0.0503,0.0513
2,55.9000,63,801,153,15054,0.2917,0.9271,0.0619,0.0973,0.0511,0.0505
2,56.4000,63,780,153,15075,0.2917,0.9253,0.0633,0.0997,0.0525,0.0492
2,57.2000,63,761,153,15094,0.2917,0.9235,0.0645,0.1020,0.0538,0.0480
2,57.8000,60,747,156,15108,0.2778,0.9257,0.0623,0.0982,0.0516,0.0471
2,58.5000,59,729,157,15126,0.2731,0.9251,0.0624,0.0985,0.0518,0.0460
2,59.1000,57,715,159,15140,0.2639,0.9262,0.0612,0.0964,0.0506,0.0451
2,59.7000,56,699,160,15156,0.2593,0.9258,0.0612,0.0965,0.0507,0.0441
2,60.3000,54,682,162,15173,0.2500,0.9266,0.0601,0.0946,0.0497,0.0430
2,60.7000,54,666,162,15189,0.2500,0.9250,0.0612,0.0967,0.0508,0.0420
2,61.7000,53,650,163,15205,0.2454,0.9246,0.0612,0.0968,0.0508,0.0410
2,62.5000,53,631,163,15224,0.2454,0.9225,0.0626,0.0994,0.0523,0.0398
2,63.2000,52,617,164,15238,0.2407,0.9223,0.0624,0.0992,0.0522,0.0389
2,64.3000,52,599,164,15256,0.2407,0.9201,0.0638,0.1018,0.0536,0.0378
2,65.3000,51,577,165,15278,0.2361,0.9188,0.0643,0.1029,0.0542,0.0364
2,66.0000,51,563,165,15292,0.2361,0.9169,0.0655,0.1051,0.0555,0.0355
2,67.0000,50,546,166,15309,0.2315,0.9161,0.0656,0.1055,0.0557,0.0344
2,67.4000,48,531,168,15324,0.2222,0.9171,0.0643,0.1032,0.0544,0.0335
2,68.6000,48,515,168,15340,0.2222,0.9147,0.0657,0.1059,0.0559,0.0325
2,69.4000,47,497,169,15358,0.2176,0.9136,0.0659,0.1065,0.0562,0.0313
2,69.9000,46,481,170,15374,0.2130,0.9127,0.0660,0.1068,0.0564,0.0303
2,71.6000,43,467,173,15388,0.1991,0.9157,0.0630,0.1015,0.0535,0.0295
2,72.4000,42,448,174,15407,0.1944,0.9143,0.0633,0.1022,0.0539,0.0283
2,73.3000,42,432,174,15423,0.1944,0.9114,0.0648,0.1052,0.0555,0.0272
2,74.0000,38,417,178,15438,0.1759,0.9165,0.0600,0.0968,0.0509,0.0263
2,75.2000,37,402,179,15453,0.1713,0.9157,0.0599,0.0967,0.0508,0.0254
2,77.1000,37,384,179,15471,0.1713,0.9121,0.0617,0.1002,0.0527,0.0242
2,78.5000,37,366,179,15489,0.1713,0.9082,0.0636,0.1039,0.0548,0.0231
2,80.1000,35,349,181,15506,0.1620,0.9089,0.0619,0.1012,0.0533,0.0220
2,81.9000,34,332,182,15523,0.1574,0.9071,0.0620,0.1017,0.0535,0.0209
2,83.1000,32,319,184,15536,0.1481,0.9088,0.0598,0.0979,0.0514,0.0201
2,84.3000,30,301,186,15554,0.1389,0.9094,0.0580,0.0950,0.0499,0.0190
2,87.3000,28,288,188,15567,0.1296,0.9114,0.0556,0.0907,0.0475,0.0182
2,88.9000,25,274,191,15581,0.1157,0.9164,0.0510,0.0828,0.0432,0.0173
2,90.8000,25,254,191,15601,0.1157,0.9104,0.0532,0.0872,0.0456,0.0160
2,93.3000,24,240,192,15615,0.1111,0.9091,0.0526,0.0865,0.0452,0.0151
2,96.7000,24,222,192,15633,0.1111,0.9024,0.0548,0.0909,0.0476,0.0140
2,99.5000,22,206,194,15649,0.1019,0.9035,0.0521,0.0865,0.0452,0.0130
2,101.8000,21,190,195,15665,0.0972,0.9005,0.0517,0.0862,0.0451,0.0120
2,104.3000,19,174,197,15681,0.0880,0.9016,0.0487,0.0813,0.0423,0.0110
2,108.0000,18,158,198,15697,0.0833,0.8977,0.0481,0.0807,0.0421,0.0100
2,111.4000,17,142,199,15713,0.0787,0.8931,0.0475,0.0802,0.0418,0.0090
2,114.4000,16,124,200,15731,0.0741,0.8857,0.0471,0.0802,0.0418,0.0078
2,118.9000,14,110,202,15745,0.0648,0.8871,0.0429,0.0733,0.0380,0.0069
2,123.1000,13,93,203,15762,0.0602,0.8774,0.0421,0.0725,0.0376,0.0059
2,129.6000,10,78,206,15777,0.0463,0.8864,0.0340,0.0585,0.0301,0.0049
2,137.2000,9,62,207,15793,0.0417,0.8732,0.0324,0.0564,0.0290,0.0039
2,144.7000,4,49,212,15806,0.0185,0.9245,0.0151,0.0246,0.0124,0.0031
2,161.8000,2,34,214,15821,0.0093,0.9444,0.0080,0.0121,0.0061,0.0021
2,194.6000,1,17,215,15838,0.0046,0.9444,0.0043,0.0065,0.0033,0.0011
3,49.9000,121,1675,95,14180,0.5602,0.9326,0.0640,0.0987,0.0519,0.1056
3,50.2000,121,1659,95,14196,0.5602,0.9320,0.0645,0.0997,0.0524,0.1046
3,50.8000,118,1645,98,14210,0.5463,0.9331,0.0634,0.0976,0.0513,0.1038
3,51.3000,117,1626,99,14229,0.5417,0.9329,0.0635,0.0979,0.0515,0.1026
3,51.9000,116,1608,100,14247,0.5370,0.9327,0.0636,0.0980,0.0515,0.1014
