window_days,threshold_mm,FPR,POD
5,140.2000,0.0418,0.3102
5,138.8000,0.0428,0.3241
5,137.5000,0.0438,0.3333
5,136.2000,0.0450,0.3380
5,134.8000,0.0460,0.3426
5,134.0000,0.0469,0.3472
5,132.5000,0.0481,0.3565
5,131.4000,0.0493,0.3565
5,130.4000,0.0505,0.3565
5,129.4000,0.0514,0.3657
5,128.5000,0.0525,0.3657
5,127.6000,0.0537,0.3657
5,126.9000,0.0549,0.3657
5,126.2000,0.0559,0.3704
5,125.4000,0.0571,0.3750
5,124.4000,0.0580,0.3796
5,123.0000,0.0592,0.3796
5,122.1000,0.0604,0.3843
5,121.4000,0.0614,0.3935
5,120.4000,0.0626,0.3935
5,119.5000,0.0636,0.3981
5,118.5000,0.0647,0.4074
5,117.6000,0.0656,0.4120
5,116.6000,0.0670,0.4120
5,115.9000,0.0681,0.4167
5,115.2000,0.0690,0.4213
5,114.2000,0.0701,0.4213
5,113.1000,0.0713,0.4259
5,112.1000,0.0723,0.4352
5,110.9000,0.0734,0.4444
5,109.8000,0.0744,0.4491
5,109.1000,0.0756,0.4537
5,108.1000,0.0766,0.4537
5,107.0000,0.0780,0.4537
5,106.6000,0.0789,0.4583
5,105.9000,0.0798,0.4630
5,105.3000,0.0808,0.4815
5,104.7000,0.0820,0.4815
5,103.9000,0.0831,0.4907
5,103.2000,0.0841,0.4954
5,102.2000,0.0852,0.5000
5,101.5000,0.0862,0.5046
5,100.4000,0.0871,0.5139
5,99.7000,0.0884,0.5139
5,98.9000,0.0896,0.5185
5,98.1000,0.0906,0.5278
5,97.5000,0.0916,0.5370
5,96.7000,0.0929,0.5370
5,96.1000,0.0938,0.5417
5,95.4000,0.0949,0.5463
5,94.9000,0.0958,0.5556
5,94.1000,0.0969,0.5694
5,93.2000,0.0981,0.5694
5,92.6000,0.0993,0.5741
5,92.0000,0.1003,0.5741
5,91.4000,0.1014,0.5833
5,90.7000,0.1026,0.5833
5,90.1000,0.1035,0.5880
5,89.3000,0.1048,0.5880
5,88.8000,0.1058,0.5880
5,88.4000,0.1069,0.5926
7,398.9000,0.0012,0.0000
7,373.2000,0.0023,0.0046
7,351.0000,0.0033,0.0139
7,331.0000,0.0044,0.0231
7,312.0000,0.0053,0.0370
7,303.0000,0.0063,0.0463
7,294.1000,0.0074,0.0509
7,286.5000,0.0085,0.0556
7,281.4000,0.0094,0.0741
7,276.5000,0.0103,0.0833
7,270.9000,0.0115,0.0880
7,267.2000,0.0123,0.1111
7,262.8000,0.0133,0.1250
7,256.2000,0.0144,0.1296
7,252.9000,0.0155,0.1389
7,250.4000,0.0165,0.1435
7,245.3000,0.0175,0.1620
7,243.3000,0.0184,0.1759
7,240.3000,0.0194,0.1852
7,237.3000,0.0204,0.1991
7,234.9000,0.0215,0.2037
7,232.1000,0.0225,0.2130
7,229.1000,0.0236,0.2176
7,227.0000,0.0246,0.2315
7,224.1000,0.0256,0.2407
7,221.6000,0.0266,0.2454
7,218.6000,0.0278,0.2500
7,216.3000,0.0287,0.2639
7,214.7000,0.0298,0.2731
7,212.8000,0.0307,0.2870
7,210.6000,0.0319,0.2917
7,209.1000,0.0329,0.2963
7,207.6000,0.0339,0.3102
7,205.6000,0.0349,0.3194
7,203.9000,0.0360,0.3241
7,202.4000,0.0370,0.3287
7,200.6000,0.0382,0.3333
7,198.9000,0.0392,0.3426
7,197.5000,0.0403,0.3472
7,195.4000,0.0414,0.3472
7,194.0000,0.0424,0.3519
7,191.8000,0.0436,0.3565
7,190.1000,0.0447,0.3565
7,188.1000,0.0459,0.3657
7,186.3000,0.0469,0.3704
7,185.0000,0.0480,0.3796
7,183.8000,0.0489,0.3889
7,182.6000,0.0499,0.3935
7,180.9000,0.0512,0.3935
7,179.5000,0.0523,0.3935
7,178.3000,0.0534,0.3981
7,176.7000,0.0546,0.3981
7,175.5000,0.0556,0.4074
7,173.5000,0.0567,0.4120
7,172.0000,0.0577,0.4213
7,170.0000,0.0588,0.4213
7,168.7000,0.0599,0.4306
7,167.3000,0.0609,0.4352
7,166.2000,0.0620,0.4398
7,164.8000,0.0633,0.4444
7,163.7000,0.0643,0.4444
7,162.2000,0.0652,0.4583
7,161.3000,0.0663,0.4676
7,160.3000,0.0673,0.4815
7,159.2000,0.0685,0.4815
7,158.1000,0.0696,0.4815
7,157.1000,0.0708,0.4861
7,156.2000,0.0719,0.4861
7,155.4000,0.0728,0.4954
7,154.6000,0.0740,0.4954
7,153.0000,0.0751,0.5000
7,151.9000,0.0761,0.5093
7,151.2000,0.0771,0.5185
7,150.7000,0.0783,0.5185
7,149.7000,0.0794,0.5278
7,148.8000,0.0804,0.5278
7,147.9000,0.0816,0.5324
7,146.8000,0.0827,0.5324
7,145.5000,0.0838,0.5370
7,144.5000,0.0849,0.5463
7,143.4000,0.0860,0.5509
7,142.4000,0.0872,0.5509
7,141.6000,0.0882,0.5556
7,140.8000,0.0891,0.5648
7,139.9000,0.0903,0.5694
7,139.1000,0.0915,0.5694
7,138.1000,0.0927,0.5741
7,137.3000,0.0935,0.5833
7,136.4000,0.0948,0.5880
7,135.7000,0.0956,0.5926
7,134.4000,0.0968,0.6019
7,133.9000,0.0979,0.6019
7,132.6000,0.0991,0.6019
7,131.8000,0.1002,0.6065
7,130.9000,0.1012,0.6157
7,130.0000,0.1024,0.6157
7,129.2000,0.1035,0.6157
7,128.2000,0.1046,0.6157
7,127.4000,0.1058,0.6157
7,126.5000,0.1070,0.6250
