window_days,threshold_mm,FPR,POD
5,49.3000,0.0498,0.3398
5,48.7000,0.0506,0.3592
5,48.2000,0.0514,0.3689
5,47.4000,0.0524,0.3689
5,46.7000,0.0533,0.3786
5,46.1000,0.0540,0.3981
5,45.6000,0.0549,0.4175
5,44.9000,0.0557,0.4369
5,44.4000,0.0565,0.4466
5,43.7000,0.0574,0.4466
5,43.2000,0.0584,0.4466
5,42.5000,0.0593,0.4466
5,42.0000,0.0602,0.4466
5,41.4000,0.0612,0.4466
5,41.0000,0.0623,0.4466
5,40.7000,0.0630,0.4466
5,40.2000,0.0639,0.4466
5,39.6000,0.0648,0.4563
5,39.1000,0.0657,0.4660
5,38.5000,0.0664,0.4854
5,37.8000,0.0675,0.4951
5,37.5000,0.0682,0.4951
5,37.0000,0.0691,0.4951
5,36.5000,0.0700,0.4951
5,36.1000,0.0709,0.4951
5,35.7000,0.0719,0.4951
5,35.1000,0.0727,0.5049
5,34.7000,0.0735,0.5243
5,34.2000,0.0743,0.5437
5,33.5000,0.0753,0.5534
5,33.0000,0.0762,0.5922
5,32.6000,0.0769,0.5922
5,32.2000,0.0780,0.5922
5,31.8000,0.0788,0.6117
5,31.4000,0.0797,0.6117
5,31.0000,0.0804,0.6214
5,30.4000,0.0815,0.6408
5,30.0000,0.0822,0.6602
5,29.6000,0.0830,0.6699
5,29.2000,0.0840,0.6699
5,28.8000,0.0849,0.6796
5,28.4000,0.0858,0.6796
5,28.1000,0.0866,0.6893
5,27.6000,0.0875,0.6893
5,27.2000,0.0884,0.6990
7,208.4000,0.0010,0.0000
7,192.4000,0.0019,0.0000
7,177.0000,0.0028,0.0097
7,167.5000,0.0037,0.0291
7,161.7000,0.0046,0.0388
7,151.7000,0.0056,0.0485
7,145.6000,0.0064,0.0583
7,142.6000,0.0073,0.0583
7,139.8000,0.0082,0.0777
7,135.8000,0.0092,0.0874
7,133.0000,0.0101,0.0874
7,129.9000,0.0109,0.1068
7,126.9000,0.0119,0.1068
7,123.7000,0.0129,0.1165
7,121.4000,0.0138,0.1165
7,118.2000,0.0147,0.1165
7,116.1000,0.0157,0.1165
7,113.1000,0.0166,0.1359
7,111.5000,0.0175,0.1359
7,109.7000,0.0184,0.1359
7,107.6000,0.0194,0.1456
7,105.9000,0.0203,0.1456
7,104.2000,0.0212,0.1456
7,103.2000,0.0222,0.1456
7,101.3000,0.0231,0.1456
7,99.6000,0.0241,0.1456
7,98.4000,0.0250,0.1456
7,96.3000,0.0260,0.1456
7,95.2000,0.0269,0.1553
7,93.4000,0.0279,0.1553
7,92.4000,0.0287,0.1650
7,91.1000,0.0298,0.1650
7,90.2000,0.0307,0.1650
7,89.4000,0.0316,0.1650
7,88.1000,0.0325,0.1650
7,86.9000,0.0335,0.1650
7,85.0000,0.0344,0.1650
7,83.9000,0.0354,0.1650
7,82.7000,0.0363,0.1748
7,81.5000,0.0372,0.1845
7,80.7000,0.0382,0.1845
7,79.5000,0.0389,0.2330
7,78.2000,0.0397,0.2621
7,77.2000,0.0406,0.2718
7,76.5000,0.0416,0.2718
7,75.9000,0.0424,0.2816
7,74.9000,0.0433,0.2913
7,73.9000,0.0443,0.2913
7,72.8000,0.0453,0.3010
7,71.7000,0.0462,0.3107
7,70.8000,0.0471,0.3204
7,69.6000,0.0480,0.3398
7,68.6000,0.0489,0.3495
7,67.8000,0.0499,0.3495
7,66.8000,0.0507,0.3689
7,66.2000,0.0517,0.3689
7,65.4000,0.0526,0.3689
7,64.7000,0.0534,0.3883
7,63.9000,0.0544,0.3981
7,63.5000,0.0552,0.4175
7,62.8000,0.0562,0.4175
7,61.8000,0.0571,0.4175
7,61.0000,0.0580,0.4175
7,60.4000,0.0590,0.4175
7,59.5000,0.0600,0.4175
7,58.6000,0.0611,0.4175
7,57.9000,0.0619,0.4369
7,57.2000,0.0627,0.4563
7,56.6000,0.0636,0.4563
7,55.7000,0.0646,0.4563
7,55.0000,0.0655,0.4563
7,54.5000,0.0664,0.4563
7,53.7000,0.0673,0.4854
7,53.1000,0.0682,0.4854
7,52.1000,0.0693,0.4854
7,51.3000,0.0701,0.4854
7,50.6000,0.0710,0.5049
7,49.9000,0.0719,0.5049
7,49.2000,0.0729,0.5049
7,48.3000,0.0738,0.5146
7,47.6000,0.0747,0.5437
7,47.0000,0.0757,0.5437
7,46.3000,0.0765,0.5437
7,45.7000,0.0776,0.5437
7,44.8000,0.0785,0.5437
7,44.2000,0.0792,0.5631
7,43.6000,0.0802,0.5728
7,43.1000,0.0811,0.5825
7,42.6000,0.0820,0.5922
7,42.1000,0.0830,0.5922
7,41.3000,0.0841,0.5922
7,41.0000,0.0847,0.6117
7,40.4000,0.0857,0.6117
7,39.8000,0.0867,0.6214
7,39.3000,0.0876,0.6408
7,38.9000,0.0883,0.6505
7,38.2000,0.0894,0.6602
7,37.8000,0.0902,0.6602
7,37.3000,0.0912,0.6796
7,36.9000,0.0920,0.6990
