window_days,threshold_mm,H,F,M,C,POD,FAR,CSI,HSS,ETS,FPR
1,45.2000,0,20,103,27270,0.0000,1.0000,0.0000,-0.0012,-0.0006,0.0007
2,12.3000,66,2109,37,25181,0.6408,0.9697,0.0298,0.0511,0.0262,0.0773
2,12.5000,65,2095,38,25195,0.6311,0.9699,0.0296,0.0506,0.0260,0.0768
2,12.7000,65,2067,38,25223,0.6311,0.9695,0.0300,0.0514,0.0264,0.0757
2,12.9000,63,2049,40,25241,0.6117,0.9702,0.0293,0.0501,0.0257,0.0751
2,13.1000,60,2024,43,25266,0.5825,0.9712,0.0282,0.0480,0.0246,0.0742
2,13.3000,60,2005,43,25285,0.5825,0.9709,0.0285,0.0485,0.0249,0.0735
2,13.4000,59,1989,44,25301,0.5728,0.9712,0.0282,0.0480,0.0246,0.0729
2,13.7000,58,1962,45,25328,0.5631,0.9713,0.0281,0.0478,0.0245,0.0719
2,13.9000,58,1945,45,25345,0.5631,0.9710,0.0283,0.0483,0.0247,0.0713
2,14.1000,58,1924,45,25366,0.5631,0.9707,0.0286,0.0488,0.0250,0.0705
2,14.2000,57,1910,46,25380,0.5534,0.9710,0.0283,0.0483,0.0247,0.0700
2,14.4000,55,1883,48,25407,0.5340,0.9716,0.0277,0.0471,0.0241,0.0690
2,14.6000,54,1865,49,25425,0.5243,0.9719,0.0274,0.0466,0.0239,0.0683
2,14.9000,51,1838,52,25452,0.4951,0.9730,0.0263,0.0444,0.0227,0.0674
2,15.0000,51,1823,52,25467,0.4951,0.9728,0.0265,0.0448,0.0229,0.0668
2,15.3000,50,1798,53,25492,0.4854,0.9729,0.0263,0.0444,0.0227,0.0659
2,15.4000,49,1781,54,25509,0.4757,0.9732,0.0260,0.0439,0.0224,0.0653
2,15.7000,49,1753,54,25537,0.4757,0.9728,0.0264,0.0446,0.0228,0.0642
2,15.8000,49,1738,54,25552,0.4757,0.9726,0.0266,0.0451,0.0231,0.0637
2,16.0000,48,1713,55,25577,0.4660,0.9727,0.0264,0.0447,0.0229,0.0628
2,16.2000,48,1694,55,25596,0.4660,0.9724,0.0267,0.0453,0.0232,0.0621
2,16.4000,47,1666,56,25624,0.4563,0.9726,0.0266,0.0450,0.0230,0.0610
2,16.6000,47,1648,56,25642,0.4563,0.9723,0.0268,0.0455,0.0233,0.0604
2,16.7000,47,1637,56,25653,0.4563,0.9721,0.0270,0.0458,0.0235,0.0600
2,16.9000,47,1615,56,25675,0.4563,0.9717,0.0274,0.0465,0.0238,0.0592
2,17.2000,44,1585,59,25705,0.4272,0.9730,0.0261,0.0440,0.0225,0.0581
2,17.4000,44,1566,59,25724,0.4272,0.9727,0.0264,0.0446,0.0228,0.0574
2,17.6000,43,1549,60,25741,0.4175,0.9730,0.0260,0.0440,0.0225,0.0568
2,17.9000,43,1523,60,25767,0.4175,0.9725,0.0264,0.0448,0.0229,0.0558
2,18.1000,42,1508,61,25782,0.4078,0.9729,0.0261,0.0441,0.0225,0.0553
2,18.4000,42,1477,61,25813,0.4078,0.9724,0.0266,0.0451,0.0231,0.0541
2,18.5000,42,1465,61,25825,0.4078,0.9721,0.0268,0.0455,0.0233,0.0537
2,18.7000,41,1445,62,25845,0.3981,0.9724,0.0265,0.0449,0.0230,0.0529
2,19.0000,41,1420,62,25870,0.3981,0.9719,0.0269,0.0457,0.0234,0.0520
2,19.3000,40,1395,63,25895,0.3883,0.9721,0.0267,0.0453,0.0232,0.0511
2,19.5000,40,1374,63,25916,0.3883,0.9717,0.0271,0.0460,0.0236,0.0503
2,19.7000,37,1356,66,25934,0.3592,0.9734,0.0254,0.0428,0.0218,0.0497
2,19.9000,35,1342,68,25948,0.3398,0.9746,0.0242,0.0406,0.0207,0.0492
2,20.1000,34,1318,69,25972,0.3301,0.9749,0.0239,0.0400,0.0204,0.0483
2,20.4000,34,1291,69,25999,0.3301,0.9743,0.0244,0.0409,0.0209,0.0473
2,20.7000,32,1267,71,26023,0.3107,0.9754,0.0234,0.0390,0.0199,0.0464
2,20.9000,30,1250,73,26040,0.2913,0.9766,0.0222,0.0367,0.0187,0.0458
2,21.2000,30,1233,73,26057,0.2913,0.9762,0.0225,0.0372,0.0190,0.0452
2,21.6000,29,1212,74,26078,0.2816,0.9766,0.0221,0.0365,0.0186,0.0444
